Species, Path,  Time, Latitude, Longitude
Lilac_bonnet,misc/images/fungi/Lilac_bonnet/IMG_8774.jpeg,2022:10:16 16:53:48,51.7746,-1.1199944444444445
Aniseed_Funnel,misc/images/fungi/Aniseed_Funnel/IMG_8749.jpeg,2022:10:16 16:15:13,51.78001388888889,-1.1205694444444445
Aniseed_Funnel,misc/images/fungi/Aniseed_Funnel/IMG_8753.jpeg,2022:10:16 16:17:35,51.78001666666667,-1.1205972222222222
Aniseed_Funnel,misc/images/fungi/Aniseed_Funnel/IMG_9036.jpeg,2022:10:29 15:31:22,51.716,-1.2614416666666666
Trooping_funnel,misc/images/fungi/Trooping_funnel/IMG_9071.jpeg,2022:10:29 15:48:25,51.71644722222222,-1.2593916666666667
Trooping_funnel,misc/images/fungi/Trooping_funnel/IMG_9077.jpeg,2022:10:29 15:49:05,51.716483333333336,-1.25935
Chicken_of_the_woods,misc/images/fungi/Chicken_of_the_woods/IMG_5018.jpeg,2021:09:27 17:51:22,51.72103611111111,-1.2639555555555555
Common_funnel,misc/images/fungi/Common_funnel/IMG_9044.jpeg,2022:10:29 15:33:21,51.71622222222223,-1.2614722222222223
Dryads_saddle,misc/images/fungi/Dryads_saddle/IMG_9092.jpeg,2022:10:29 16:26:07,51.719661111111115,-1.2577555555555555
Yellow_staghorn,misc/images/fungi/Yellow_staghorn/IMG_9002.jpeg,2022:10:29 14:51:58,51.71877777777778,-1.2662944444444444
Yellow_staghorn,misc/images/fungi/Yellow_staghorn/IMG_8602.jpeg,2022:10:07 18:03:26,51.70878888888889,-1.2619166666666666
Yellow_staghorn,misc/images/fungi/Yellow_staghorn/IMG_8958.jpeg,2022:10:28 17:27:44,51.718650000000004,-1.2655361111111112
Oyster,misc/images/fungi/Oyster/IMG_5010.jpeg,2021:09:27 17:42:49,51.71790277777778,-1.2645583333333332
Oyster,misc/images/fungi/Oyster/IMG_5004.jpeg,2021:09:27 17:42:13,51.71781666666667,-1.2644972222222222
Fly_agaric,misc/images/fungi/Fly_agaric/IMG_8886.jpeg,2022:10:22 13:51:04,51.74763611111111,-1.1803805555555555
Fly_agaric,misc/images/fungi/Fly_agaric/IMG_5224.jpeg,2021:10:14 17:44:39,51.708936111111115,-1.261011111111111
Turkey_tail,misc/images/fungi/Turkey_tail/IMG_9188.jpeg,2022:11:05 11:43:13,51.71143611111111,-1.2571416666666666
Turkey_tail,misc/images/fungi/Turkey_tail/IMG_9321.jpeg,2022:11:09 13:55:36,52.926402777777774,-3.9807055555555557
Jelly_ear,misc/images/fungi/Jelly_ear/IMG_8880.jpeg,2022:10:22 13:41:01,51.74787777777778,-1.1800388888888889
Couded_funnel,misc/images/fungi/Couded_funnel/IMG_9068.jpeg,2022:10:29 15:48:02,51.716433333333335,-1.259375
Couded_funnel,misc/images/fungi/Couded_funnel/IMG_9070.jpeg,2022:10:29 15:48:10,51.71644722222222,-1.2593722222222221
StinkHorn,misc/images/fungi/StinkHorn/IMG_5112.jpeg,2021:10:09 15:40:24,50.884505555555556,-0.8297916666666667
StinkHorn,misc/images/fungi/StinkHorn/IMG_4955.jpeg,2021:09:25 15:16:54,51.371697222222224,-1.2422472222222223
StinkHorn,misc/images/fungi/StinkHorn/IMG_4964.jpeg,2021:09:25 15:19:37,51.371697222222224,-1.242227777777778
Candlesnuff_fungus,misc/images/fungi/Candlesnuff_fungus/IMG_9118.jpeg,2022:10:30 15:45:52,51.71284166666667,-1.2610611111111112
Magpie_inkcap,misc/images/fungi/Magpie_inkcap/IMG_9018.jpeg,2022:10:29 15:18:25,51.71570833333334,-1.2632583333333334
Magpie_inkcap,misc/images/fungi/Magpie_inkcap/IMG_9087.jpeg,2022:10:29 16:16:56,51.717463888888894,-1.2564305555555555
